time,x,y,z
5658,-0.46741,-0.29854,-0.36505
5710,-0.56816,-0.17213,-0.33923
5759,-0.47784,-0.18300,-0.13383
5810,-0.59340,-0.18941,0.36160
5858,-0.53894,-0.06650,0.65346
5910,-0.40343,0.01338,0.72792
5960,-0.26471,0.01056,0.67953
6009,-0.15321,0.08562,0.66162
6059,0.02371,-0.01768,0.49554
6110,0.08171,-0.01578,0.38803
6159,0.24042,0.00980,0.01880
6215,0.28894,0.00754,-0.30914
6259,0.32574,0.14583,-0.40543
6310,0.26653,-0.06290,-0.70743
6358,0.16208,-0.03053,-0.52199
6410,0.10397,0.03633,-0.40741
6458,0.07495,-0.03004,-0.44070
6509,-0.05536,-0.02620,-0.07793
6558,-0.00981,0.00557,-0.09962
6610,-0.00433,-0.16597,-0.02324
6658,0.20255,-0.23212,-0.27768
6709,0.13686,-0.08455,-0.75600
6758,0.18106,0.00130,-0.85243
6811,0.12488,-0.03268,-1.04178
6858,0.04970,-0.13463,-1.17194
6910,-0.34004,1.26532,-0.86900
6960,-0.09650,-0.10561,-0.48311
7010,-0.38890,-0.15227,-0.30856
7062,-0.32358,-0.12375,-0.06802
7108,-0.29924,-0.09808,-0.07066
7159,-0.26294,-0.01862,-0.04384
7223,-0.53952,-0.33215,0.12488
7258,-0.27388,0.04591,0.42351
7308,-0.31305,0.05122,0.53358
7358,-0.43871,-0.12401,0.26160
7410,0.25620,0.41687,0.27997
7458,-0.86227,-0.73849,0.20747
7509,-0.88695,-0.75917,0.56728
7558,0.21568,0.59834,0.43385
7610,0.10965,0.46666,0.38242
7660,0.14131,0.40341,0.49902
7709,-0.18886,0.01866,0.50638
7759,-0.08022,0.06137,0.36107
7809,-0.07158,-0.02654,0.28108
7858,-0.06828,0.00513,-0.13339
7909,-0.08533,0.04063,0.18542
7959,0.01360,-0.01501,0.25082
8010,0.02792,0.03786,0.49979
8059,0.10316,-0.04485,0.39616
8110,0.14526,0.01799,0.40121
8158,0.31796,-0.01300,0.19331
8214,0.43303,-0.02208,0.08466
8258,0.48047,-0.02348,-0.08771
8308,0.42952,0.01056,-0.00670
8359,0.35588,0.57492,-0.12067
8409,0.38521,-0.13811,-0.12129
8459,0.55406,0.10649,-0.19978
8509,0.36330,-0.06171,-0.32674
8560,0.42174,-0.05263,-0.61237
8611,0.36719,-0.07523,-0.77017
8658,0.25465,-0.02751,-0.66214
8709,0.28290,0.01254,-0.72705
8759,0.00691,-0.05330,-0.55568
8810,-0.02974,-0.10954,-0.62012
8858,-0.14354,-0.09396,-0.45354
8911,-0.32588,-0.08337,-0.14090
8959,-0.40009,-0.05754,-0.26346
9010,-0.18822,-0.08981,-0.63454
9059,-0.29239,-0.06059,-0.77135
9109,-0.53598,-0.07571,-0.22945
9160,-0.62283,-0.33458,0.30574
9209,-0.69753,-0.11613,0.69077
9263,-0.57709,0.03986,0.92987
9309,-0.44911,0.00233,0.84660
9358,-0.33603,-0.01248,0.83681
9409,-0.22723,-0.03157,0.69604
9458,-0.09169,-0.09341,0.69083
9510,0.06308,0.08670,0.57875
9557,-0.01714,-0.04449,0.68140
9608,0.23096,0.07805,0.53500
9658,0.23724,-0.26535,0.21623
9710,0.17055,-0.00797,0.13387
9758,0.14316,-0.09952,-0.01074
9810,0.23740,-0.06241,-0.29286
9861,0.17181,0.04532,-0.34647
9909,0.03343,-0.06827,-0.05731
9959,0.17686,0.35786,0.12299
10008,0.00157,-0.05765,0.08282
10058,0.05989,-0.10559,-0.16159
10109,-0.02513,-0.10806,-0.11964
10159,-0.05205,-0.01530,0.04720
10209,-0.03995,-0.05492,0.13155
10261,-0.06561,-0.03209,0.06606
