time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
125773,22.32067180,87.30882680,5,-20.00000,1.39000,35,18
126781,22.32068710,87.30880710,5,-20.00000,2.07000,35,18
127775,22.32070950,87.30877360,4,-20.00000,3.93000,35,18
128826,22.32077710,87.30867530,4,-20.00000,4.07000,35,18
129822,22.32078440,87.30863840,4,-20.00000,4.05000,35,18
130820,22.32079320,87.30860170,5,-20.00000,4.36000,35,18
131832,22.32081530,87.30856210,4,-19.00000,3.47000,35,13
132826,22.32082690,87.30853280,4,-19.00000,3.07000,35,15
133879,22.32085840,87.30851900,4,-19.00000,3.32000,35,17
134873,22.32090140,87.30848260,4,-19.00000,4.27000,35,17
135874,22.32090450,87.30842870,4,-19.00000,4.36000,35,18
136923,22.32092660,87.30838330,4,-20.00000,4.18000,34,17
137937,22.32094730,87.30835700,4,-20.00000,3.95000,35,18
138971,22.32096450,87.30833650,4,-20.00000,3.30000,35,17
139972,22.32099430,87.30830240,4,-20.00000,4.23000,34,15
140970,22.32101810,87.30828460,4,-20.00000,1.88000,34,16
141970,22.32101860,87.30828580,4,-20.00000,0.00000,31,13
143016,22.32101670,87.30829110,4,-20.00000,0.00000,32,14
144020,22.32102840,87.30829130,4,-20.00000,0.00000,33,15
