time,x,y,z
51946,-0.32550,-0.18939,-0.62065
51997,-0.60577,-0.21906,-0.35631
52048,-0.79489,-0.06358,0.16882
52097,-0.76262,0.08209,0.62485
52146,-0.88271,0.11761,1.14011
52198,-0.57951,0.06422,0.84964
52246,-0.32413,0.05069,0.44637
52298,-0.05060,0.19032,0.23518
52346,0.04953,0.00354,0.00697
52396,0.13257,0.03656,-0.19060
52448,-0.04309,-0.07568,0.20612
52497,-0.21324,-0.07770,0.62933
52547,-0.30771,-0.03386,1.04594
52597,-0.04027,0.02324,0.69078
52647,-0.09023,-0.14749,0.59328
52697,0.05324,-0.05873,0.38405
52747,0.12167,-0.02156,0.05345
52809,0.06450,0.06328,0.14070
52846,0.03935,-0.05766,0.03035
52897,-0.07156,0.03452,0.29903
52946,-0.02847,0.12971,0.31598
52997,-0.00624,-0.02515,0.28513
53046,-0.02170,-0.03117,0.28867
53099,0.05969,-0.06264,0.19858
53147,0.09924,0.02174,0.15747
53198,0.19537,0.03644,0.07289
53248,0.14093,-0.00906,0.19644
53296,0.29649,0.08182,0.10832
53346,0.23268,0.00037,0.16020
53397,0.29231,-0.07442,0.16617
53446,0.39972,-0.08459,0.07436
53498,0.36745,-0.01407,0.15341
53547,0.38045,-0.11539,0.06572
53597,0.44592,0.11308,0.04486
53647,0.38324,0.03960,0.01620
53698,0.51759,-0.06277,-0.25586
53746,0.49210,0.02231,-0.40929
53796,0.41905,0.02586,-0.43130
53852,0.41005,-0.09772,-0.48227
53896,0.27353,-0.08237,-0.43210
53946,0.34787,0.02882,-0.73103
53997,0.23607,-0.02873,-0.84253
54046,0.17252,-0.10820,-0.94188
54096,0.07623,-0.14490,-0.82742
54146,-0.22527,-0.15472,-0.53033
54197,-0.29898,-0.16501,-0.39441
54246,-0.30429,-0.12587,-0.24071
54298,-0.47313,-0.08014,0.03072
54347,-0.28227,-0.00650,-0.24417
54396,-0.34229,-0.11847,0.05948
54447,-0.34514,-0.06775,0.01637
54498,-0.32326,-0.02893,0.00290
54547,-0.51222,-0.06497,0.33966
54598,-0.55008,0.05290,0.76274
54650,-0.48480,0.06128,0.92276
54696,-0.18416,0.08507,0.80798
54746,0.13652,0.02515,0.29500
54798,0.31485,-0.03275,-0.11299
54853,0.37538,0.04735,-0.46840
54896,0.25000,0.08649,-0.57407
54946,-0.09947,-0.05199,-0.16628
54997,-0.18758,0.13345,0.06328
55047,0.16273,-0.82509,0.16760
55098,-0.22710,-0.20171,-0.00224
55147,0.15897,-0.64650,0.47781
55196,0.00386,0.12996,0.08931
55247,0.00826,1.54814,-0.09056
55297,-0.19043,1.38538,-0.19458
55346,-0.11047,0.71817,-0.56874
55396,-0.45502,0.30191,-0.55870
55446,-0.40315,-0.09505,0.04428
55497,-0.64102,-0.63330,0.83330
55546,-0.29979,-0.58409,1.21877
55597,-0.24516,-0.43513,0.95215
55646,-0.15627,-0.16580,-0.53813
55697,-0.17296,-0.14590,0.21187
55747,-0.21268,0.23227,0.60220
55797,-0.10889,0.02682,0.30627
55847,-0.05695,0.14278,0.09727
55903,-0.27859,-0.07103,0.48862
55946,-0.07332,-0.17549,0.46857
55996,0.06793,-0.09306,0.12944
56046,-0.05170,0.03493,0.26848
56097,-0.08287,-0.01955,0.27629
56148,-0.14081,0.10968,0.29897
56197,-0.31683,-0.06587,0.64207
56248,-0.35048,-0.12592,0.59946
56297,-0.27919,-0.14331,0.59579
56347,-0.18256,0.05341,0.62962
56399,-0.30563,-0.20091,0.72903
56447,-0.30734,-0.19296,0.69962
56496,-0.36633,-0.12125,0.72217
56548,-0.09360,-0.02110,0.52861
56599,-0.27364,-0.31804,0.67654
56646,-0.31599,-0.21951,0.73347
56698,-0.14671,-0.17799,0.52209
56747,-0.34288,-0.26282,0.78424
56797,-0.17923,-0.15501,0.69084
56848,-0.09743,-0.22383,0.69170
56903,-0.14198,-0.27327,0.69334
56946,-0.03267,-0.28354,0.56696
56996,-0.18410,-0.38416,0.73953
57047,-0.10857,-0.23732,0.87396
57097,-0.27396,-0.29573,1.15356
57146,-1.03667,-0.55389,2.24670
57197,-0.77875,-0.42203,2.12746
57246,-0.54550,-0.64548,1.68413
57297,0.09825,-0.65729,1.22369
57348,0.11731,-0.79395,1.14919
57398,0.21352,-0.81908,0.96519
57447,0.37617,-0.54837,0.46568
