time,dB(SPL)
49446,35.26856
49497,35.84783
49547,37.61627
49597,26.02060
49646,20.82785
49697,16.90196
49752,58.62916
49796,35.26856
49846,33.25516
49896,31.82129
49947,37.38463
49997,40.34067
50046,39.55447
50097,40.00000
50147,39.27576
50196,38.98780
50247,40.00000
50297,37.72981
50348,38.79039
50401,39.27576
50446,39.55447
50497,59.71751
50546,57.78603
50596,46.72919
50645,38.58838
50696,40.25674
50750,25.10545
50796,26.02060
50846,30.88136
50897,33.97940
50946,25.10545
50997,16.90196
51047,15.56303
51098,20.82785
51147,22.27887
51197,19.08485
51246,22.92256
51297,36.65018
51347,35.56303
51397,31.36403
51446,34.15140
51496,59.13297
51547,36.90196
51597,25.57507
51646,18.06180
51697,18.06180
51755,20.82785
51796,13.97940
51846,27.23456
51896,35.26856
51946,39.55447
51996,29.82723
52047,37.61627
52097,41.06157
52146,35.70660
52197,38.06180
52246,39.08485
52298,40.17200
52346,38.88965
52396,39.18083
52447,41.13810
52497,39.18083
52547,40.17200
52597,39.36966
52646,38.27628
52697,38.68997
52746,38.79039
52809,37.61627
52846,36.77698
52897,37.26646
52946,40.82785
52997,26.84845
53045,40.50612
53098,37.95254
53147,35.56303
53197,37.38463
53248,35.11750
53296,36.77698
53346,36.90196
53397,36.25827
53446,37.84189
53497,38.79039
53547,38.27628
53597,38.58838
53647,37.26646
53697,35.84783
53746,38.58838
53796,36.65018
53851,38.16970
53896,33.62482
53946,38.98780
53996,40.42379
54046,59.64542
54096,48.36603
54146,38.48559
54197,39.46256
54246,37.72981
54297,36.65018
54347,37.02517
54396,36.52150
54447,39.08485
54497,39.73543
54547,39.18083
54598,38.58838
54650,40.42379
54696,39.46256
54746,58.79039
54798,58.35011
54853,37.84189
54896,35.84783
54946,35.41704
54996,33.44196
55046,37.02517
55097,35.70660
55147,36.39088
55196,34.80725
55247,33.62482
55296,30.62958
55346,31.82129
55395,29.24796
55446,32.66937
55497,29.54243
55545,31.59567
55597,22.92256
55646,29.54243
55696,23.52183
55746,24.60898
55796,24.60898
55846,30.37028
55902,28.62728
55946,27.23456
55996,31.12605
56046,35.56303
56097,36.39088
56148,35.11750
56197,28.29947
56247,37.02517
56296,31.82129
56347,36.25827
56399,19.08485
56446,30.62958
56496,27.60422
56547,31.59567
56598,25.10545
56646,35.98681
56697,38.06180
56747,38.58838
56797,39.36966
56847,37.14665
56903,24.60898
56946,33.25516
56996,37.72981
57047,40.66848
57097,37.02517
57146,40.17200
57197,38.98780
57246,38.06180
57296,38.38156
57348,37.61627
57397,38.48559
57446,39.36966
57496,39.55447
57546,32.25568
57597,39.08485
57647,35.70660
57697,32.25568
57746,38.58838
57797,36.39088
57847,37.61627
57901,35.11750
57946,36.25827
57997,33.97940
58046,58.82028
58097,38.98780
58146,39.46256
58196,37.50123
58246,39.91270
58297,39.55447
58347,38.38156
58397,34.48552
58446,29.54243
58496,22.92256
58548,35.70660
58596,31.36403
58647,35.41704
58697,37.14665
58747,38.68997
58797,37.14665
58847,37.50123
58896,37.26646
58953,37.50123
58996,38.48559
59046,38.27628
59097,38.79039
59147,37.95254
59197,38.98780
59246,37.84189
59297,40.82785
59347,28.29947
59398,34.32007
59446,37.95254
59497,39.36966
59547,36.52150
59597,40.08643
59647,32.66937
59696,25.57507
59747,34.80725
59797,35.11750
59848,29.24796
59897,25.57507
59950,26.44439
59996,33.97940
60047,38.06180
60097,36.77698
60146,35.56303
60198,33.44196
60247,35.98681
60297,33.06425
60347,34.48552
60396,21.58362
60446,31.36403
60498,39.91270
60546,30.37028
60598,27.23456
60646,36.65018
60697,33.25516
60746,29.54243
60797,28.29947
60846,34.80725
60897,34.64788
60951,35.56303
60996,34.64788
61046,34.32007
61096,39.73543
61147,37.38463
61198,36.52150
61246,33.80392
61297,19.08485
61347,22.27887
61396,29.54243
61447,30.10300
61496,39.46256
61546,28.62728
61598,37.50123
61647,37.26646
61697,30.62958
61746,35.26856
61797,34.80725
61849,36.90196
61898,34.80725
61951,35.70660
61996,33.25516
62046,33.25516
62096,38.38156
62147,38.68997
62197,31.82129
62248,29.82723
62296,28.62728
62347,23.52183
62397,32.04120
62446,23.52183
62496,21.58362
62546,16.90196
62597,20.00000
62647,23.52183
62697,28.94316
62747,27.95880
62798,36.12360
62847,34.32007
62897,25.10545
62952,24.60898
62996,33.44196
63046,59.40694
63096,58.49592
63146,48.69138
63197,33.25516
63245,33.06425
63297,33.97940
63346,25.57507
63396,32.04120
63446,27.95880
63497,33.62482
63546,35.26856
63596,31.59567
63646,22.92256
63696,15.56303
63747,26.44439
63797,15.56303
63846,18.06180
63897,16.90196
63946,18.06180
64006,12.04120
64046,13.97940
64096,33.25516
64147,35.41704
64197,35.70660
64247,29.24796
64297,32.46499
64346,26.44439
64395,37.02517
64446,38.38156
64498,37.50123
64548,36.25827
64597,39.64542
64648,39.82452
64697,38.38156
64747,40.74853
64796,38.48559
64846,39.18083
64898,39.73543
64946,39.46256
65002,38.98780
65047,39.08485
65097,38.58838
65146,40.58768
65197,38.48559
65246,35.41704
65297,33.62482
65347,34.15140
65406,38.16970
65446,27.60422
65496,24.08240
65546,36.12360
65596,38.58838
65647,38.98780
65697,37.95254
65746,42.21179
65797,35.70660
65846,37.84189
65896,37.02517
65947,38.06180
65997,39.08485
66049,39.46256
66096,41.86843
66146,40.00000
66199,39.08485
66247,52.27684
66296,50.15712
66346,46.36127
66398,51.95390
66446,49.68600
66496,51.43418
