time,lx
30547,2567.00000
30597,2567.00000
30647,2068.00000
30697,2068.00000
30747,2068.00000
30797,2068.00000
30846,1692.00000
30897,1692.00000
30946,1692.00000
30998,1692.00000
31047,1585.00000
31098,1585.00000
31147,1585.00000
31198,1585.00000
31246,1533.00000
31299,1533.00000
31348,1533.00000
31399,1533.00000
31451,1388.00000
31496,1388.00000
31546,1388.00000
31598,1388.00000
31647,1346.00000
31697,1346.00000
31747,1346.00000
31796,1346.00000
31846,1333.00000
31897,1333.00000
31947,1333.00000
31997,1333.00000
32046,1365.00000
32099,1365.00000
32150,1365.00000
32196,1365.00000
32248,1405.00000
32298,1405.00000
32347,1405.00000
32396,1405.00000
32449,1405.00000
32495,1405.00000
32546,1423.00000
32597,1423.00000
32647,1423.00000
32697,1423.00000
32746,1437.00000
32797,1437.00000
32847,1437.00000
32897,1437.00000
32947,1456.00000
32997,1456.00000
33047,1456.00000
33097,1456.00000
33148,1535.00000
33197,1535.00000
33246,1535.00000
33298,1535.00000
33347,1423.00000
33396,1423.00000
33446,1423.00000
33503,1423.00000
33546,1756.00000
33597,1756.00000
33646,1756.00000
33698,1756.00000
33747,1585.00000
33798,1585.00000
33847,1585.00000
33897,1585.00000
33947,1487.00000
33998,1487.00000
34048,1487.00000
34097,1487.00000
34149,1405.00000
34197,1405.00000
34247,1405.00000
34298,1405.00000
34347,1212.00000
34397,1212.00000
34446,1212.00000
34496,1212.00000
34549,989.00000
34596,989.00000
34646,989.00000
34699,989.00000
34747,917.00000
34797,917.00000
34848,917.00000
34897,917.00000
34946,895.00000
34997,895.00000
35047,895.00000
35098,895.00000
35146,849.00000
35198,849.00000
35248,849.00000
35297,849.00000
35347,752.00000
35397,752.00000
35446,752.00000
35496,752.00000
35551,1005.00000
35596,1005.00000
35646,1005.00000
35696,1005.00000
35746,1014.00000
35796,1014.00000
35847,1014.00000
35897,1014.00000
35947,928.00000
35997,928.00000
36046,928.00000
36096,928.00000
36146,914.00000
36196,914.00000
36246,914.00000
36296,914.00000
36345,965.00000
36396,965.00000
36446,965.00000
36496,965.00000
36548,951.00000
36599,951.00000
36646,951.00000
36696,951.00000
36747,1029.00000
36796,1029.00000
36847,1029.00000
36896,1029.00000
36946,959.00000
36997,959.00000
37046,959.00000
37096,959.00000
37146,1108.00000
37199,1108.00000
37248,1108.00000
37296,1108.00000
37346,1268.00000
37397,1268.00000
37446,1268.00000
37499,1268.00000
37548,1216.00000
37603,1216.00000
37647,1216.00000
37696,1216.00000
37747,1051.00000
37796,1051.00000
37846,1051.00000
37897,1051.00000
37946,1088.00000
37997,1088.00000
38046,1088.00000
38096,1088.00000
38146,1278.00000
38197,1278.00000
38247,1278.00000
38298,1278.00000
38346,1590.00000
38396,1590.00000
38446,1590.00000
38496,1590.00000
38546,1848.00000
38599,1848.00000
38646,1848.00000
38696,1848.00000
38746,2146.00000
38798,2146.00000
38846,2146.00000
38896,2146.00000
38946,2401.00000
38998,2401.00000
39046,2401.00000
39097,2401.00000
39147,2674.00000
39197,2674.00000
39248,2674.00000
39298,2674.00000
39348,2857.00000
39396,2857.00000
39446,2857.00000
39498,2857.00000
39547,2857.00000
39610,2857.00000
39646,2815.00000
39698,2815.00000
39747,2815.00000
39798,2815.00000
39848,2757.00000
39898,2757.00000
39947,2757.00000
39997,2757.00000
40047,2539.00000
40099,2539.00000
40147,2539.00000
40197,2539.00000
40247,2524.00000
40297,2524.00000
40347,2524.00000
40397,2524.00000
40447,2671.00000
40497,2671.00000
40546,2671.00000
40596,2671.00000
40648,2712.00000
40696,2712.00000
40746,2712.00000
40797,2712.00000
40847,2509.00000
40899,2509.00000
40947,2509.00000
40996,2509.00000
41047,2455.00000
41097,2455.00000
41147,2455.00000
41196,2455.00000
41247,2451.00000
41297,2451.00000
41348,2451.00000
41397,2451.00000
41446,2449.00000
41497,2449.00000
41546,2449.00000
41596,2449.00000
41650,2290.00000
41696,2290.00000
41746,2290.00000
41798,2290.00000
41847,2111.00000
41897,2111.00000
41947,2111.00000
41997,2111.00000
42049,2457.00000
42097,2457.00000
42146,2457.00000
42196,2457.00000
42248,2590.00000
42297,2590.00000
42346,2590.00000
42398,2590.00000
42446,2526.00000
42497,2526.00000
42547,2526.00000
42598,2526.00000
42655,2715.00000
42696,2715.00000
42746,2715.00000
42796,2715.00000
42846,2763.00000
42897,2763.00000
42947,2763.00000
42997,2763.00000
43047,2535.00000
43098,2535.00000
43146,2535.00000
43196,2535.00000
43246,2419.00000
43297,2419.00000
43347,2419.00000
43397,2419.00000
43446,2637.00000
43497,2637.00000
43548,2637.00000
43597,2637.00000
43647,2818.00000
43701,2818.00000
43745,2818.00000
43796,2818.00000
43847,2818.00000
43898,2818.00000
43947,2846.00000
43997,2846.00000
44048,2846.00000
44098,2846.00000
44147,2774.00000
44197,2774.00000
44246,2774.00000
44297,2774.00000
44346,2653.00000
44397,2653.00000
44446,2653.00000
44497,2653.00000
44547,2474.00000
44596,2474.00000
44646,2474.00000
44702,2474.00000
44746,2201.00000
44796,2201.00000
44847,2201.00000
44897,2201.00000
44947,1953.00000
44997,1953.00000
45046,1953.00000
45102,1953.00000
45147,1631.00000
45197,1631.00000
45247,1631.00000
45298,1631.00000
45348,1407.00000
45398,1407.00000
45447,1407.00000
45497,1407.00000
45547,1243.00000
45599,1243.00000
45646,1243.00000
45697,1243.00000
45755,1083.00000
45799,1083.00000
45846,1083.00000
45896,1083.00000
45948,977.00000
45998,977.00000
46047,977.00000
46097,977.00000
46146,928.00000
46198,928.00000
46251,928.00000
46296,928.00000
46347,854.00000
46397,854.00000
46447,854.00000
46498,854.00000
46546,796.00000
46598,796.00000
46647,796.00000
46698,796.00000
46750,861.00000
46796,861.00000
46846,861.00000
46898,861.00000
46948,1061.00000
46997,1061.00000
47046,1061.00000
47097,1061.00000
47147,1333.00000
47197,1333.00000
47247,1333.00000
47296,1333.00000
47346,2063.00000
47397,2063.00000
47446,2063.00000
47496,2063.00000
47546,2076.00000
47598,2076.00000
47648,2076.00000
47698,2076.00000
47755,2170.00000
47796,2170.00000
47847,2170.00000
47897,2170.00000
47946,2332.00000
47997,2332.00000
48046,2332.00000
48098,2332.00000
48146,2474.00000
48198,2474.00000
48247,2474.00000
48297,2474.00000
48347,2681.00000
48396,2681.00000
48446,2681.00000
48496,2681.00000
48546,2652.00000
48596,2652.00000
48647,2652.00000
48697,2652.00000
48752,2745.00000
48796,2745.00000
48846,2745.00000
48897,2745.00000
48948,2721.00000
48996,2721.00000
49046,2721.00000
49098,2721.00000
49147,2513.00000
49196,2513.00000
49246,2513.00000
49298,2513.00000
49347,2513.00000
49396,2470.00000
49447,2470.00000
49498,2470.00000
49547,2470.00000
49598,2430.00000
49646,2430.00000
49697,2430.00000
49752,2430.00000
49796,2384.00000
49847,2384.00000
49896,2384.00000
49947,2384.00000
49997,2386.00000
50046,2386.00000
50097,2386.00000
50147,2386.00000
50196,2383.00000
50248,2383.00000
50298,2383.00000
50348,2383.00000
50401,1981.00000
50446,1981.00000
50497,1981.00000
50546,1981.00000
50596,1977.00000
50646,1977.00000
50696,1977.00000
50750,1977.00000
50796,2049.00000
50846,2049.00000
50897,2049.00000
50947,2049.00000
50998,1971.00000
51047,1971.00000
51099,1971.00000
51147,1971.00000
51197,2133.00000
51246,2133.00000
51297,2133.00000
51348,2133.00000
51397,2057.00000
51447,2057.00000
51497,2057.00000
51548,2057.00000
51597,2022.00000
51646,2022.00000
51698,2022.00000
51756,2022.00000
51796,1875.00000
51846,1875.00000
51897,1875.00000
51947,1875.00000
51997,1834.00000
52048,1834.00000
52098,1834.00000
52146,1834.00000
52198,1383.00000
52246,1383.00000
52298,1383.00000
52347,1383.00000
52396,946.00000
52448,946.00000
52497,946.00000
52547,946.00000
52598,790.00000
52647,790.00000
52697,790.00000
52747,790.00000
52809,547.00000
52846,547.00000
52897,547.00000
52946,547.00000
52997,475.00000
53046,475.00000
53099,475.00000
53147,475.00000
53198,302.00000
53249,302.00000
53296,302.00000
53346,302.00000
53397,273.00000
53446,273.00000
53498,273.00000
53547,273.00000
53597,339.00000
53647,339.00000
53698,339.00000
53746,339.00000
53796,497.00000
53852,497.00000
53896,497.00000
53946,497.00000
53997,968.00000
54046,968.00000
54096,968.00000
54146,968.00000
54197,1088.00000
54246,1088.00000
54298,1088.00000
54347,1088.00000
54396,1160.00000
54448,1160.00000
54498,1160.00000
54547,1160.00000
54598,1525.00000
54650,1525.00000
54696,1525.00000
54746,1525.00000
54798,1511.00000
54853,1511.00000
54896,1511.00000
54946,1511.00000
54997,1831.00000
55047,1831.00000
55098,1831.00000
55147,1831.00000
55196,1772.00000
55248,1772.00000
55297,1772.00000
55346,1772.00000
55396,1772.00000
55446,1772.00000
55497,1635.00000
55546,1635.00000
55597,1635.00000
55646,1635.00000
55697,1617.00000
55747,1617.00000
55797,1617.00000
55847,1617.00000
55903,1647.00000
55946,1647.00000
55996,1647.00000
56046,1647.00000
56097,1619.00000
56148,1619.00000
56197,1619.00000
56248,1619.00000
56297,1587.00000
56347,1587.00000
56399,1587.00000
56447,1587.00000
56496,1583.00000
56548,1583.00000
56599,1583.00000
56646,1583.00000
56698,1565.00000
56747,1565.00000
56797,1565.00000
56848,1565.00000
56903,1483.00000
56946,1483.00000
56996,1483.00000
57047,1483.00000
57097,1392.00000
57146,1392.00000
57197,1392.00000
57246,1392.00000
57297,1239.00000
57348,1239.00000
57398,1239.00000
57447,1239.00000
57496,1183.00000
57547,1183.00000
57597,1183.00000
57648,1183.00000
57697,1321.00000
57746,1321.00000
57797,1321.00000
57848,1321.00000
57902,1420.00000
57946,1420.00000
57997,1420.00000
58046,1420.00000
58098,1514.00000
58147,1514.00000
58196,1514.00000
58246,1514.00000
58298,1348.00000
58348,1348.00000
58397,1348.00000
58446,1348.00000
58496,1037.00000
58549,1037.00000
58597,1037.00000
58648,1037.00000
58697,1060.00000
58747,1060.00000
58797,1060.00000
58847,1060.00000
58897,1391.00000
58953,1391.00000
58996,1391.00000
59046,1391.00000
59098,1491.00000
59148,1491.00000
59197,1491.00000
59247,1491.00000
59298,1335.00000
59347,1335.00000
59398,1335.00000
59446,1335.00000
59497,1321.00000
59547,1321.00000
59597,1321.00000
59650,1321.00000
59696,1426.00000
59747,1426.00000
59797,1426.00000
59849,1426.00000
59897,1498.00000
59953,1498.00000
59996,1498.00000
60047,1498.00000
60098,1561.00000
60147,1561.00000
60199,1561.00000
60247,1561.00000
60298,1597.00000
60348,1597.00000
60396,1597.00000
60446,1597.00000
60498,1660.00000
60546,1660.00000
60598,1660.00000
60646,1660.00000
60697,1864.00000
60747,1864.00000
60797,1864.00000
60846,1864.00000
60898,1800.00000
60951,1800.00000
60997,1800.00000
61046,1800.00000
61096,1596.00000
61147,1596.00000
61199,1596.00000
61247,1596.00000
61298,1553.00000
61347,1553.00000
61396,1553.00000
61448,1553.00000
61497,1659.00000
61547,1659.00000
61598,1659.00000
61647,1659.00000
61697,1772.00000
61746,1772.00000
61797,1772.00000
61850,1772.00000
61898,1748.00000
61951,1748.00000
61996,1748.00000
62047,1748.00000
62096,1505.00000
62147,1505.00000
62198,1505.00000
62248,1505.00000
62297,1268.00000
62347,1268.00000
62398,1268.00000
62446,1268.00000
62497,1262.00000
62546,1262.00000
62598,1262.00000
62648,1262.00000
62698,1295.00000
62747,1295.00000
62799,1295.00000
62847,1295.00000
62897,1205.00000
62954,1205.00000
62997,1205.00000
63046,1205.00000
63096,991.00000
63147,991.00000
63197,991.00000
63246,991.00000
63298,806.00000
63347,806.00000
63398,806.00000
63446,806.00000
63497,649.00000
63547,649.00000
63597,649.00000
63647,649.00000
63697,763.00000
63747,763.00000
63798,763.00000
63846,763.00000
63897,1005.00000
63947,1005.00000
64006,1005.00000
64047,1005.00000
64097,868.00000
64147,868.00000
64198,868.00000
64248,868.00000
64297,939.00000
64346,939.00000
64396,939.00000
64447,939.00000
64498,879.00000
64548,879.00000
64597,879.00000
64649,879.00000
64697,870.00000
64747,870.00000
64797,870.00000
64847,870.00000
64900,1114.00000
64947,1114.00000
65002,1114.00000
65047,1114.00000
65098,1152.00000
65147,1152.00000
65197,1152.00000
65246,1152.00000
65297,1505.00000
65347,1505.00000
65406,1505.00000
65446,1505.00000
65496,1714.00000
65546,1714.00000
65597,1714.00000
65647,1714.00000
65697,1574.00000
65746,1574.00000
65798,1574.00000
65846,1574.00000
65896,1834.00000
65947,1834.00000
65997,1834.00000
66049,1834.00000
66096,2411.00000
66146,2411.00000
66200,2411.00000
66248,2411.00000
66297,2476.00000
66346,2476.00000
66399,2476.00000
66446,2476.00000
66496,1561.00000
66546,1561.00000
66596,1561.00000
66646,1561.00000
66698,1085.00000
66746,1085.00000
66797,1085.00000
66847,1085.00000
66897,1115.00000
66947,1115.00000
66999,1115.00000
67049,1115.00000
67096,1272.00000
67146,1272.00000
67198,1272.00000
67248,1272.00000
67298,808.00000
67348,808.00000
67398,808.00000
67446,808.00000
67497,640.00000
67546,640.00000
67598,640.00000
67647,640.00000
67697,688.00000
67748,688.00000
67797,688.00000
67847,688.00000
67897,829.00000
67947,829.00000
67999,829.00000
68067,829.00000
68096,887.00000
68146,887.00000
68198,887.00000
68246,887.00000
68298,932.00000
68347,932.00000
68397,932.00000
68447,932.00000
68499,1009.00000
68546,1009.00000
68596,1009.00000
68647,1009.00000
68697,1084.00000
68747,1084.00000
68797,1084.00000
68846,1084.00000
68897,1172.00000
68946,1172.00000
68998,1172.00000
69063,1172.00000
69096,1304.00000
69146,1304.00000
69198,1304.00000
69246,1304.00000
69297,1363.00000
69349,1363.00000
69396,1363.00000
69446,1363.00000
69498,1365.00000
69547,1365.00000
69597,1365.00000
69647,1365.00000
69698,1295.00000
69746,1295.00000
69800,1295.00000
69846,1295.00000
69898,1232.00000
69948,1232.00000
69996,1232.00000
70046,1232.00000
70107,1160.00000
70146,1160.00000
70198,1160.00000
70247,1160.00000
70297,1287.00000
70346,1287.00000
70397,1287.00000
70446,1287.00000
70496,1254.00000
70547,1254.00000
70598,1254.00000
70648,1254.00000
70698,1229.00000
70747,1229.00000
70798,1229.00000
70846,1229.00000
70896,1215.00000
70948,1215.00000
70998,1215.00000
71046,1215.00000
71112,1227.00000
71146,1227.00000
71197,1227.00000
71246,1227.00000
71297,1295.00000
71350,1295.00000
71396,1295.00000
71446,1295.00000
71497,1267.00000
71548,1267.00000
71596,1267.00000
71647,1267.00000
71698,1179.00000
71746,1179.00000
71796,1179.00000
71847,1179.00000
71897,1039.00000
71946,1039.00000
71997,1039.00000
72047,1039.00000
72097,966.00000
72150,966.00000
72196,966.00000
72246,966.00000
72297,917.00000
72347,917.00000
72397,917.00000
72446,917.00000
72497,809.00000
72546,809.00000
72596,809.00000
72646,809.00000
72697,651.00000
72746,651.00000
72796,651.00000
72848,651.00000
72897,545.00000
72947,545.00000
72998,545.00000
73047,545.00000
73098,545.00000
73153,545.00000
73196,545.00000
73246,545.00000
73298,370.00000
73346,370.00000
73399,370.00000
73446,370.00000
73498,351.00000
73547,351.00000
73597,351.00000
73648,351.00000
73697,353.00000
73747,353.00000
73796,353.00000
73846,353.00000
73896,267.00000
73947,267.00000
73997,267.00000
74047,267.00000
74097,235.00000
74150,235.00000
74196,235.00000
74246,235.00000
74296,284.00000
74347,284.00000
74398,284.00000
74446,284.00000
74498,291.00000
74546,291.00000
74596,291.00000
74646,291.00000
74697,270.00000
74748,270.00000
74797,270.00000
74846,270.00000
74898,304.00000
74946,304.00000
74996,304.00000
75046,304.00000
75096,364.00000
75150,364.00000
75197,364.00000
75247,364.00000
75298,483.00000
75347,483.00000
75396,483.00000
75446,483.00000
75499,539.00000
75546,539.00000
75597,539.00000
75648,539.00000
75698,616.00000
75747,616.00000
75797,616.00000
75846,616.00000
75897,647.00000
75949,647.00000
75997,647.00000
76046,647.00000
76098,670.00000
76151,670.00000
76197,670.00000
76246,670.00000
76296,720.00000
76347,720.00000
76397,720.00000
76447,720.00000
76498,796.00000
76548,796.00000
76597,796.00000
76648,796.00000
76698,861.00000
76746,861.00000
76797,861.00000
76847,861.00000
76897,914.00000
76946,914.00000
76998,914.00000
77048,914.00000
77097,921.00000
77147,921.00000
77203,921.00000
77246,921.00000
77297,935.00000
77346,935.00000
77396,935.00000
77447,935.00000
77496,981.00000
77549,981.00000
77600,981.00000
77646,981.00000
77697,1044.00000
77747,1044.00000
77795,1044.00000
77846,1044.00000
77896,1127.00000
77948,1127.00000
77996,1127.00000
78046,1127.00000
78096,1233.00000
78146,1233.00000
78198,1233.00000
78246,1233.00000
78296,1339.00000
78346,1339.00000
78396,1339.00000
78446,1339.00000
78496,1516.00000
78547,1516.00000
78597,1516.00000
78647,1516.00000
78698,1785.00000
78747,1785.00000
78799,1785.00000
78848,1785.00000
78897,1898.00000
78946,1898.00000
78998,1898.00000
79047,1898.00000
79096,1964.00000
79149,1964.00000
79206,1964.00000
79246,1964.00000
79296,1772.00000
79347,1772.00000
79396,1772.00000
79446,1772.00000
79496,1159.00000
79547,1159.00000
79596,1159.00000
79646,1159.00000
79697,688.00000
79749,688.00000
79796,688.00000
79847,688.00000
79897,411.00000
79947,411.00000
79996,411.00000
80047,411.00000
80098,220.00000
80146,220.00000
80210,220.00000
80246,220.00000
80297,266.00000
80346,266.00000
80396,266.00000
80447,266.00000
80497,491.00000
80547,491.00000
80597,491.00000
80647,491.00000
80697,543.00000
80748,543.00000
80797,543.00000
80847,543.00000
80897,569.00000
80946,569.00000
80998,569.00000
81048,569.00000
81097,710.00000
81148,710.00000
81197,710.00000
81258,710.00000
81297,931.00000
81346,931.00000
81397,931.00000
81445,931.00000
81496,1275.00000
81546,1275.00000
81597,1275.00000
81648,1275.00000
81698,1606.00000
81747,1606.00000
81797,1606.00000
81846,1606.00000
81897,1861.00000
81947,1861.00000
81998,1861.00000
82046,1861.00000
82097,2001.00000
82147,2001.00000
82197,2001.00000
82246,2001.00000
82301,2018.00000
82346,2018.00000
82396,2018.00000
82446,2018.00000
82496,2018.00000
82547,1987.00000
82596,1987.00000
82647,1987.00000
82697,1987.00000
82747,1884.00000
82797,1884.00000
82848,1884.00000
82897,1884.00000
82946,1405.00000
82997,1405.00000
83047,1405.00000
83096,1405.00000
83146,1972.00000
83196,1972.00000
83248,1972.00000
83309,1972.00000
83347,2806.00000
83396,2806.00000
83447,2806.00000
83498,2806.00000
83547,2937.00000
83596,2937.00000
83646,2937.00000
83698,2937.00000
83748,2824.00000
83797,2824.00000
83847,2824.00000
83898,2824.00000
83947,2704.00000
83998,2704.00000
84047,2704.00000
84098,2704.00000
84148,2612.00000
84199,2612.00000
84247,2612.00000
84306,2612.00000
84346,2597.00000
84396,2597.00000
84447,2597.00000
84496,2597.00000
84548,2115.00000
84598,2115.00000
84647,2115.00000
84697,2115.00000
84747,1857.00000
84797,1857.00000
84846,1857.00000
84897,1857.00000
84947,1917.00000
84998,1917.00000
85046,1917.00000
85097,1917.00000
85147,1818.00000
85197,1818.00000
85247,1818.00000
85306,1818.00000
85347,1875.00000
85396,1875.00000
85446,1875.00000
85497,1875.00000
85546,1935.00000
85598,1935.00000
85647,1935.00000
85696,1935.00000
85747,2030.00000
85797,2030.00000
85847,2030.00000
85899,2030.00000
85946,2080.00000
85998,2080.00000
86046,2080.00000
86096,2080.00000
86146,2080.00000
86197,2080.00000
86246,2105.00000
86298,2105.00000
86351,2105.00000
86395,2105.00000
86446,2138.00000
86496,2138.00000
86546,2138.00000
86598,2138.00000
86648,2183.00000
86697,2183.00000
86747,2183.00000
86798,2183.00000
86847,2187.00000
86898,2187.00000
86948,2187.00000
87001,2187.00000
87047,2127.00000
87098,2127.00000
87147,2127.00000
87197,2127.00000
87247,2125.00000
87296,2125.00000
87346,2125.00000
87413,2125.00000
87446,1905.00000
87497,1905.00000
87546,1905.00000
87597,1905.00000
87648,1746.00000
87700,1746.00000
87746,1746.00000
87797,1746.00000
87848,1692.00000
87898,1692.00000
87947,1692.00000
87999,1692.00000
88046,1868.00000
88098,1868.00000
88148,1868.00000
88198,1868.00000
88248,1964.00000
88297,1964.00000
88346,1964.00000
88396,1964.00000
88453,1978.00000
88495,1978.00000
88546,1978.00000
88595,1978.00000
88646,1947.00000
88697,1947.00000
88746,1947.00000
88798,1947.00000
88846,1921.00000
88897,1921.00000
88947,1921.00000
88997,1921.00000
89047,1817.00000
89097,1817.00000
89147,1817.00000
89197,1817.00000
89248,1695.00000
89297,1695.00000
89347,1695.00000
89397,1695.00000
89450,1822.00000
89496,1822.00000
89546,1822.00000
89597,1822.00000
89647,1768.00000
89698,1768.00000
89748,1768.00000
89798,1768.00000
89847,1735.00000
89898,1735.00000
89947,1735.00000
89998,1735.00000
90046,1828.00000
90097,1828.00000
90148,1828.00000
90197,1828.00000
90246,1986.00000
90300,1986.00000
90348,1986.00000
90398,1986.00000
90449,2122.00000
90496,2122.00000
90546,2122.00000
90597,2122.00000
90647,1917.00000
90697,1917.00000
90746,1917.00000
90796,1917.00000
90847,1935.00000
90897,1935.00000
90947,1935.00000
90997,1935.00000
91048,2123.00000
91097,2123.00000
91149,2123.00000
91197,2123.00000
91247,2147.00000
91296,2147.00000
91347,2147.00000
91396,2147.00000
91451,2338.00000
91496,2338.00000
91546,2338.00000
91598,2338.00000
91646,2418.00000
91698,2418.00000
91746,2418.00000
91798,2418.00000
91847,2490.00000
91897,2490.00000
91946,2490.00000
91997,2490.00000
92048,2573.00000
92097,2573.00000
92146,2573.00000
92197,2573.00000
92247,2634.00000
92299,2634.00000
92346,2634.00000
92396,2634.00000
92446,2528.00000
92502,2528.00000
92546,2528.00000
92597,2528.00000
92647,2163.00000
92698,2163.00000
92747,2163.00000
92797,2163.00000
92847,2339.00000
92897,2339.00000
92955,2339.00000
92997,2339.00000
93047,2599.00000
93099,2599.00000
93147,2599.00000
93198,2599.00000
93246,2653.00000
93297,2653.00000
93347,2653.00000
93398,2653.00000
93446,2653.00000
93505,2653.00000
93546,2614.00000
93596,2614.00000
93646,2614.00000
93696,2614.00000
93746,2580.00000
93796,2580.00000
93847,2580.00000
93897,2580.00000
93947,2550.00000
93997,2550.00000
94047,2550.00000
94097,2550.00000
94146,2610.00000
94197,2610.00000
94246,2610.00000
94297,2610.00000
94346,2716.00000
94396,2716.00000
94446,2716.00000
94504,2716.00000
94546,2887.00000
94597,2887.00000
94647,2887.00000
94698,2887.00000
94747,3092.00000
94796,3092.00000
94847,3092.00000
94896,3092.00000
94948,3060.00000
94998,3060.00000
95047,3060.00000
95097,3060.00000
95147,2719.00000
95197,2719.00000
95248,2719.00000
95297,2719.00000
95348,2490.00000
95396,2490.00000
95447,2490.00000
95496,2490.00000
95551,2225.00000
95596,2225.00000
95646,2225.00000
95698,2225.00000
95748,2287.00000
95797,2287.00000
95846,2287.00000
95899,2287.00000
95947,2734.00000
95997,2734.00000
96047,2734.00000
96097,2734.00000
96146,2813.00000
96197,2813.00000
96246,2813.00000
96296,2813.00000
96347,2844.00000
96397,2844.00000
96447,2844.00000
96497,2844.00000
96555,2755.00000
96597,2755.00000
96647,2755.00000
96698,2755.00000
96748,2697.00000
96797,2697.00000
96846,2697.00000
96898,2697.00000
96947,2697.00000
96997,2697.00000
97046,2674.00000
97096,2674.00000
97148,2674.00000
