time,dB(SPL)
20888,27.23456
20939,23.52183
20990,23.52183
21036,16.90196
21086,30.62958
21136,33.25516
21186,30.62958
21237,27.60422
21286,23.52183
21336,20.00000
21386,22.92256
21436,24.08240
21486,29.82723
21538,29.24796
21587,30.37028
21636,32.04120
21687,27.23456
21738,23.52183
21786,20.82785
21836,20.00000
21886,27.95880
21936,25.10545
21988,22.92256
22036,28.62728
22086,59.12337
22137,37.95254
22186,32.86905
22236,32.04120
22286,31.12605
22337,30.10300
22386,27.23456
22438,26.44439
22486,22.27887
22538,25.10545
22586,29.54243
22637,29.24796
22686,22.27887
22737,33.62482
22786,23.52183
22838,20.00000
22887,20.00000
22937,16.90196
22995,13.97940
23038,12.04120
23085,19.08485
23136,35.70660
23185,24.60898
23235,24.08240
23285,35.41704
23336,36.77698
23386,35.41704
23437,31.36403
23486,31.82129
23540,28.94316
23587,32.04120
23637,31.59567
23687,27.23456
23739,28.62728
23788,24.08240
23838,22.92256
23887,20.82785
23937,22.27887
23990,27.23456
24036,27.95880
24086,22.27887
24136,35.84783
24186,32.86905
24235,28.62728
24286,35.11750
24336,27.95880
24387,35.41704
24438,27.60422
24486,23.52183
24536,30.62958
24587,30.62958
24636,25.10545
24687,29.54243
24741,27.60422
24787,20.82785
24836,23.52183
24886,25.57507
24937,25.10545
24993,32.86905
25036,21.58362
25086,30.88136
25135,34.64788
25186,35.11750
25236,58.16970
25286,57.83075
25339,46.92706
25387,57.18277
25439,58.31854
25489,50.02119
25537,31.12605
25588,30.37028
25636,28.29947
25686,23.52183
25736,31.36403
25787,29.82723
25836,27.95880
25888,30.10300
25937,27.60422
25991,29.82723
26036,30.62958
26086,57.31392
26135,58.39202
26186,50.37028
26237,34.80725
26286,26.44439
26336,27.95880
26387,28.62728
26437,29.82723
26488,30.10300
26539,30.10300
26586,33.06425
26636,33.25516
26686,28.29947
26737,31.82129
26786,30.88136
26839,30.88136
26886,27.60422
26938,22.92256
26999,31.82129
27036,29.24796
27085,27.95880
27135,31.12605
27186,32.46499
27236,29.24796
27287,29.82723
27335,29.82723
27386,34.15140
27438,23.52183
27486,25.57507
27536,20.82785
27586,31.12605
27637,29.54243
27687,28.94316
27737,16.90196
27786,22.92256
27836,21.58362
27887,31.59567
27936,24.08240
27993,34.80725
28036,29.82723
28085,25.10545
28135,36.77698
28186,30.10300
28236,29.24796
28287,23.52183
28338,29.24796
28387,29.82723
28437,25.57507
28487,26.44439
28538,29.24796
28586,32.66937
28639,26.84845
28687,22.27887
28737,24.08240
28787,20.00000
28837,15.56303
28887,16.90196
28938,21.58362
28986,19.08485
29041,16.90196
29086,20.82785
29136,32.46499
29186,37.38463
29236,31.59567
29288,28.62728
29336,31.59567
29387,34.80725
29437,30.10300
29486,28.62728
29537,24.08240
29588,31.12605
29636,30.62958
29686,30.62958
29738,27.60422
29786,28.29947
29836,28.94316
29886,28.62728
29939,34.48552
29990,29.24796
30043,31.12605
30086,30.88136
30135,26.02060
30186,30.88136
30236,33.80392
30286,31.59567
30337,28.94316
30387,60.65238
30437,50.44888
30486,27.23456
30538,29.54243
30586,30.37028
