time,x,y,z
23534,0.17886,-0.04118,0.03896
23583,0.27614,-0.02019,-0.25203
23634,0.24818,-0.18967,-0.36093
23683,0.18790,0.04358,-0.55002
23740,0.08414,-0.06038,-0.53142
23782,-0.03435,0.03575,-0.19427
23833,-0.16455,-0.06851,0.01021
23885,-0.19511,0.01654,0.16870
23933,-0.16890,0.20020,0.24638
23983,-0.19217,-0.04063,0.41583
24034,-0.18729,0.05516,0.45839
24083,-0.09540,-0.01471,0.36285
24134,0.08047,0.05209,0.09706
24183,0.15067,-0.03220,-0.19580
24236,0.19257,-0.02184,-0.29584
24284,0.12653,-0.02309,-0.31421
24334,0.06992,-0.08250,-0.27115
24383,-0.01060,-0.05602,-0.16850
24436,-0.04771,0.07617,-0.08662
24484,-0.05119,0.04965,-0.12018
24532,-0.01643,-0.02390,-0.22755
24583,-0.05348,-0.00580,-0.12540
24634,-0.09016,-0.00546,-0.06305
24683,-0.09479,0.02834,0.01414
24738,-0.12852,-0.02213,0.15370
24783,-0.15942,0.01547,0.27399
24833,-0.10757,0.05121,0.32880
24883,-0.06041,-0.07532,0.19432
24933,0.12280,-0.06317,-0.13257
24984,0.15404,-0.02678,-0.24057
25033,0.16714,-0.02063,-0.24988
25084,0.01547,-0.00920,-0.13647
25134,0.03265,0.06454,-0.10721
25183,-0.07802,-0.09981,0.03477
25234,-0.09450,-0.02794,0.04761
25285,-0.08710,0.14441,0.10802
25333,-0.13542,-0.00435,0.31317
25385,-0.15759,0.05737,0.40598
25433,-0.16299,0.04358,0.36935
25482,-0.08000,0.02840,0.17793
25534,0.03940,0.05632,-0.05124
25583,0.18036,-0.04710,-0.44582
25633,0.18037,-0.06201,-0.64641
25682,0.06352,-0.04012,-0.52354
25738,-0.05936,-0.08662,-0.29869
25783,-0.18298,0.00342,-0.02029
25833,-0.32784,0.08636,0.36476
25883,-0.33667,0.01878,0.51419
25937,-0.25743,0.07741,0.53937
25983,-0.13774,0.03670,0.47462
26033,-0.05392,-0.03386,0.34331
26084,0.04576,-0.01875,0.14886
26134,0.07173,-0.05305,0.11324
26184,0.12366,-0.03540,0.08748
26233,0.12997,0.00391,0.13336
26283,0.11044,0.01054,0.18950
26333,0.10130,0.05017,0.20648
26384,0.12468,0.02135,0.05566
26433,0.13252,-0.07291,-0.11330
26483,0.11278,-0.00397,-0.19501
26533,0.12209,-0.01471,-0.23691
26585,0.05429,-0.01526,-0.14508
26635,-0.00587,0.02226,-0.03275
26684,-0.13292,0.03027,0.18610
26742,-0.20567,0.02608,0.34485
26783,-0.19774,0.01917,0.42796
26833,-0.19955,0.04172,0.45137
26883,0.02095,-0.01234,0.22972
26934,0.05232,0.00682,0.16853
26984,0.14471,-0.03123,-0.04886
27034,0.12091,-0.02405,-0.08582
27085,0.16013,-0.04088,-0.16782
27134,0.21304,-0.02289,-0.23566
27184,0.11757,0.00591,-0.19205
27236,0.07941,-0.07616,-0.22667
27284,0.10718,-0.04550,-0.32597
27334,0.06306,0.05714,-0.23264
27384,0.03564,0.01781,-0.10822
27434,-0.03108,0.04839,0.04730
27483,-0.05545,0.06862,0.22998
27533,-0.04295,-0.00768,0.33066
27584,-0.01793,0.07571,0.28000
27634,0.05402,-0.01137,0.15137
27687,0.10736,0.02060,0.03540
