time,dB(SPL)
72583,40.08643
72645,41.79810
72683,41.06157
72733,43.04577
72784,42.54210
72833,53.87454
72885,39.18083
72933,47.30976
72983,36.90196
73033,26.84845
73084,19.08485
73134,40.74853
73184,26.44439
73235,20.00000
73283,15.56303
73332,22.92256
73383,39.82452
73434,40.34067
73483,58.29744
73535,58.51655
73583,47.81870
73642,39.73543
73683,40.66848
73733,40.08643
73783,43.91799
73834,40.58768
73883,39.18083
73933,39.82452
73984,39.91270
74033,38.58838
74084,40.08643
74133,48.72325
74183,46.23508
74233,33.62482
74284,47.56796
74334,46.68908
74383,30.62958
74433,43.46373
74484,32.66937
74534,59.69055
74583,40.74853
74634,39.36966
74688,35.70660
74733,41.51094
74783,56.96378
74833,57.88632
74883,29.24796
74934,25.10545
74983,24.60898
75033,25.57507
75084,42.21179
75134,36.25827
75183,37.14665
75234,37.72981
75283,38.27628
75336,35.70660
75384,40.17200
75433,35.70660
75486,33.06425
75534,34.48552
75582,35.41704
75633,35.98681
75683,40.25674
75737,56.92674
75782,58.10512
75832,59.37899
75883,53.17930
75933,58.12670
75983,52.74979
76036,33.97940
76083,53.31162
76134,45.00840
76184,51.86572
76233,53.14112
76284,53.19832
76333,53.16023
76383,52.54732
76434,52.98670
76483,28.94316
76533,52.76979
76584,36.77698
76634,50.75638
76683,54.93268
76734,52.21320
76782,54.13436
76834,52.96720
76887,37.14665
76934,54.61565
76983,51.82129
77032,54.06583
77084,30.62958
77133,53.82163
77183,51.59567
77233,53.42346
77284,53.29284
77334,39.55447
77385,51.52683
77433,53.27402
77483,30.88136
77533,23.52183
77583,26.02060
77634,22.27887
77685,31.36403
77737,21.58362
77782,22.27887
77834,33.25516
77885,30.37028
77935,32.25568
77985,20.82785
78032,20.00000
78084,33.25516
78134,35.26856
78183,37.50123
78233,34.32007
78284,34.80725
78333,36.90196
78384,36.65018
78434,27.95880
78483,37.38463
78534,58.88965
78583,42.92256
78634,39.91270
78683,38.98780
78736,42.27887
78782,50.70588
78833,61.45235
78883,58.29744
78933,54.74385
78984,49.68600
79033,31.12605
79083,36.77698
79133,33.80392
79186,36.90196
79233,30.88136
79283,30.62958
79333,32.66937
79383,35.26856
79433,22.27887
79483,23.52183
79533,18.06180
79584,20.82785
79633,16.90196
79684,47.42136
79736,44.86076
79784,19.08485
79833,31.36403
79883,32.66937
79933,29.82723
79982,31.12605
80033,34.48552
80084,28.62728
80133,20.00000
80184,21.58362
80234,15.56303
80283,19.08485
80333,20.82785
80384,20.82785
80434,15.56303
80482,15.56303
80533,16.90196
80586,20.82785
80634,23.52183
80683,19.08485
80738,16.90196
80784,18.06180
80832,32.46499
80883,32.86905
