time,distance
6785,5.00031
6836,5.00031
6890,5.00031
6936,5.00031
6983,5.00031
7033,5.00031
7085,5.00031
7136,5.00031
7183,5.00031
7234,5.00031
7285,5.00031
7335,5.00031
7383,5.00031
7444,5.00031
7484,5.00031
7533,5.00031
7583,5.00031
7636,5.00031
7686,5.00031
7733,5.00031
7784,5.00031
7836,5.00031
7885,5.00031
7934,5.00031
7984,5.00031
8033,5.00031
8085,5.00031
8136,5.00031
8184,5.00031
8237,5.00031
8284,5.00031
8336,5.00031
8385,5.00031
8434,5.00031
8491,5.00031
8534,5.00031
8583,5.00031
8633,5.00031
8685,5.00031
8735,5.00031
8784,5.00031
8835,5.00031
8885,5.00031
8933,5.00031
8984,5.00031
9037,5.00031
9085,5.00031
9134,5.00031
9184,5.00031
9234,5.00031
9287,5.00031
9334,5.00031
9385,5.00031
9435,5.00031
9490,5.00031
9533,5.00031
9584,5.00031
9634,5.00031
9684,5.00031
9734,5.00031
9783,5.00031
9833,5.00031
9884,5.00031
9935,5.00031
9985,5.00031
10034,5.00031
10084,5.00031
10134,5.00031
10184,5.00031
10236,5.00031
10284,5.00031
10335,5.00031
10386,5.00031
10434,5.00031
10491,5.00031
10532,5.00031
10582,5.00031
10633,5.00031
10684,5.00031
10737,5.00031
10783,5.00031
10836,5.00031
10886,5.00031
10935,5.00031
10988,5.00031
11034,5.00031
11085,5.00031
11135,5.00031
11185,5.00031
11234,5.00031
11283,5.00031
11334,5.00031
11385,5.00031
11434,5.00031
11483,5.00031
11539,5.00031
11583,5.00031
11633,5.00031
11687,5.00031
11734,5.00031
11785,5.00031
11834,5.00031
11883,5.00031
11935,5.00031
11984,5.00031
12033,5.00031
12085,5.00031
12134,5.00031
12184,5.00031
12235,5.00031
12285,5.00031
12334,5.00031
12385,5.00031
12437,5.00031
12483,5.00031
12535,5.00031
12584,5.00031
12633,5.00031
12683,5.00031
12736,5.00031
12786,5.00031
12835,5.00031
12884,5.00031
12934,5.00031
12984,5.00031
13034,5.00031
13086,5.00031
13134,5.00031
13187,5.00031
13236,5.00031
13284,5.00031
13334,5.00031
13383,5.00031
13434,5.00031
13484,5.00031
13533,5.00031
13588,5.00031
13633,5.00031
13683,5.00031
13734,5.00031
13785,5.00031
13834,5.00031
13887,5.00031
13935,5.00031
13985,5.00031
14033,5.00031
14084,5.00031
14135,5.00031
14184,5.00031
14235,5.00031
14288,5.00031
14334,5.00031
14385,5.00031
14435,5.00031
14491,5.00031
14533,5.00031
14585,5.00031
14633,5.00031
14683,5.00031
14733,5.00031
14784,5.00031
14834,5.00031
14883,5.00031
14933,5.00031
14984,5.00031
15036,5.00031
15085,5.00031
15137,5.00031
15184,5.00031
15233,5.00031
15284,5.00031
15334,5.00031
15384,5.00031
15434,5.00031
15483,5.00031
15534,5.00031
15590,5.00031
15633,5.00031
15683,5.00031
15735,5.00031
15785,5.00031
15836,5.00031
15885,5.00031
15935,5.00031
15986,5.00031
16035,5.00031
16084,5.00031
16136,5.00031
16184,5.00031
16233,5.00031
16285,5.00031
16336,5.00031
16384,5.00031
16434,5.00031
16484,5.00031
16534,5.00031
16589,5.00031
16633,5.00031
16683,5.00031
16734,5.00031
16784,5.00031
16834,5.00031
16888,5.00031
16933,5.00031
16983,5.00031
17032,5.00031
17084,5.00031
17133,5.00031
17183,5.00031
17233,5.00031
17283,5.00031
17336,5.00031
17383,5.00031
17435,5.00031
17483,5.00031
17535,5.00031
17592,5.00031
17633,5.00031
17683,5.00031
17734,5.00031
17785,5.00031
17834,5.00031
17883,5.00031
17934,5.00031
17984,5.00031
18033,5.00031
18084,5.00031
18134,5.00031
18185,5.00031
18233,5.00031
18285,5.00031
18333,5.00031
18384,5.00031
18433,5.00031
18484,5.00031
18534,5.00031
18600,5.00031
18633,5.00031
18683,5.00031
18733,5.00031
18784,5.00031
18833,5.00031
18886,5.00031
18934,5.00031
18983,5.00031
19036,5.00031
19087,5.00031
19136,5.00031
19183,5.00031
19234,5.00031
19284,5.00031
19333,5.00031
19385,5.00031
19435,5.00031
19486,5.00031
19534,5.00031
19589,5.00031
19639,5.00031
19683,5.00031
19733,5.00031
19784,5.00031
19837,5.00031
19885,5.00031
19933,5.00031
19984,5.00031
20035,5.00031
